City ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
254,Roebourne,AU,-20.7833,117.1333,82.38,56,0,2.24,clear sky
255,Marzuq,YE,14.4,46.4667,68.58,55,100,2.3,overcast clouds
256,Riyadh,SA,24.6877,46.7219,77.0,22,0,2.3,clear sky
257,Ziro,IN,27.6333,93.8333,48.85,98,100,1.01,overcast clouds
258,Kunming,CN,25.0389,102.7183,66.0,88,40,11.18,scattered clouds
259,Ordu,TR,40.9086,37.6845,62.6,82,75,3.44,light rain
260,Port Augusta,AU,-32.5,137.7667,64.4,63,0,6.91,clear sky
261,Dunedin,NZ,-45.8742,170.5036,63.3,52,79,3.71,broken clouds
262,Doha,QA,25.2867,51.5333,80.6,24,0,8.05,clear sky
263,Mitchell,US,43.7094,-98.0298,48.2,57,20,25.32,few clouds
264,Biarritz,FR,43.4801,-1.5556,44.6,87,0,3.44,clear sky
265,Amapa,BR,1.0,-52.0,70.97,99,100,1.72,overcast clouds
266,Linjiang,CN,41.8069,126.9078,58.59,30,19,6.6,few clouds
267,Bengkulu,ID,-3.8004,102.2655,77.29,83,27,3.44,scattered clouds
268,Great Falls,US,47.5002,-111.3008,32.0,93,90,13.8,snow
269,Kalianget,ID,-7.05,113.9333,81.61,75,14,5.44,few clouds
270,Acapulco,MX,16.8634,-99.8901,82.4,61,1,11.5,clear sky
271,Rantepao,ID,-2.9701,119.8978,76.5,69,58,1.3,broken clouds
272,Kyzyl,RU,51.7,94.45,44.8,38,0,3.0,clear sky
273,Edinburg,GB,55.9521,-3.1965,46.99,93,0,1.14,clear sky
274,Wuwei,CN,37.9281,102.6414,54.9,33,100,8.46,overcast clouds
275,Karratha,AU,-20.7377,116.8463,82.18,60,0,1.77,clear sky
276,Pisco,PE,-13.7,-76.2167,66.2,82,0,17.27,clear sky
277,Sambava,MG,-14.2667,50.1667,76.15,89,90,15.43,light rain
278,Kununurra,AU,-15.7667,128.7333,82.4,30,8,8.05,clear sky
279,Sussex,US,41.1834,-74.6663,55.4,50,90,2.71,overcast clouds
280,Lompoc,US,34.6391,-120.4579,61.0,77,0,12.66,clear sky
281,Murray Bridge,AU,-35.1167,139.2667,62.01,79,8,3.0,clear sky
282,Lorengau,PG,-2.0226,147.2712,81.93,77,100,9.86,overcast clouds
283,Mackay,AU,-21.15,149.2,80.01,69,61,14.97,broken clouds
284,Pingxiang,CN,27.6167,113.85,57.22,92,100,2.24,overcast clouds
285,Maku,IR,39.2911,44.4521,55.4,61,98,7.34,overcast clouds
286,Kitob,UZ,39.0843,66.8332,57.2,54,21,9.22,few clouds
287,Roma,US,43.2128,-75.4557,51.8,50,1,11.5,clear sky
288,Tamiahua,MX,21.2667,-97.45,68.27,84,100,13.22,overcast clouds
289,San Fernando,PH,15.0286,120.6898,82.4,57,75,4.61,broken clouds
